Rank,Team,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Joe Mixon,HOU,29,127,4.4,19,0,1,4,4,23,5.8,0,0,1,21.0,21.0,93.9%,2021,RB,1
2,Nick Chubb,CLE,15,83,5.5,18,0,2,2,2,18,9.0,0,1,1,20.1,20.1,55.1%,2021,RB,1
3,Christian McCaffrey,SF,21,98,4.7,18,0,0,9,9,89,9.9,0,0,1,18.7,18.7,66.6%,2021,RB,1
4,David Montgomery,DET,16,108,6.8,41,1,1,1,1,10,10.0,0,0,1,17.8,17.8,75.4%,2021,RB,1
5,Melvin Gordon III,FA,11,101,9.2,70,1,1,3,3,17,5.7,0,0,1,17.8,17.8,0.1%,2021,RB,1
6,Jamaal Williams,FA,9,54,6.0,20,1,1,8,9,56,7.0,0,0,1,17.0,17.0,2.5%,2021,RB,1
7,Elijah Mitchell,SF,19,104,5.5,38,1,1,0,0,0,0,0,0,1,16.4,16.4,5.5%,2021,RB,1
8,D'Andre Swift,CHI,11,39,3.5,16,0,0,8,11,65,8.1,1,0,1,16.4,16.4,83.1%,2021,RB,1
9,Josh Jacobs,GB,10,34,3.4,15,0,2,1,2,6,6.0,0,0,1,16.0,16.0,96.3%,2021,RB,1
10,Ty'Son Williams,FA,9,65,7.2,35,1,1,3,4,29,9.7,0,0,1,15.4,15.4,1.1%,2021,RB,1
11,Alvin Kamara,NO,20,83,4.2,14,0,0,3,4,8,2.7,1,0,1,15.1,15.1,87.9%,2021,RB,1
12,Darrell Henderson Jr.,FA,16,70,4.4,15,0,1,1,1,17,17.0,0,0,1,14.7,14.7,5.0%,2021,RB,1
13,Mark Ingram II,FA,26,85,3.3,11,0,1,0,1,0,0,0,0,1,14.5,14.5,3.0%,2021,RB,1
14,Dalvin Cook,FA,20,61,3.1,17,0,1,6,7,43,7.2,0,1,1,14.4,14.4,0.9%,2021,RB,1
15,Kareem Hunt,KC,6,33,5.5,15,0,1,3,3,28,9.3,0,0,1,14.1,14.1,48.5%,2021,RB,1
16,Miles Sanders,CAR,15,74,4.9,23,1,0,4,5,39,9.8,0,0,1,13.3,13.3,5.1%,2021,RB,1
17,Austin Ekeler,WAS,15,57,3.8,14,0,1,0,0,0,0,0,0,1,11.7,11.7,51.4%,2021,RB,1
18,Jonathan Taylor,IND,17,56,3.3,12,0,0,6,7,60,10.0,0,0,1,11.6,11.6,92.9%,2021,RB,1
19,Chase Edmonds,TB,12,63,5.3,16,0,0,4,4,43,10.8,0,0,1,10.6,10.6,0.1%,2021,RB,1
20,Kenneth Gainwell,PHI,9,37,4.1,8,0,1,2,3,6,3.0,0,0,1,10.3,10.3,11.7%,2021,RB,1
21,Chris Carson,FA,16,91,5.7,33,1,0,3,3,26,8.7,0,1,1,9.7,9.7,0.3%,2021,RB,1
22,Damien Harris,FA,23,100,4.3,35,1,0,2,3,17,8.5,0,1,1,9.7,9.7,9.0%,2021,RB,1
23,David Johnson,FA,3,10,3.3,5,0,0,3,4,18,6.0,1,0,1,8.8,8.8,0.0%,2021,RB,1
24,Latavius Murray,FA,10,28,2.8,8,0,1,0,0,0,0,0,0,1,8.8,8.8,0.0%,2021,RB,1
25,Antonio Gibson,NE,20,90,4.5,27,1,0,3,5,18,6.0,0,1,1,8.8,8.8,22.5%,2021,RB,1
26,Phillip Lindsay,FA,8,25,3.1,8,0,1,0,1,0,0,0,0,1,8.5,8.5,0.0%,2021,RB,1
27,Nyheim Hines,FA,9,34,3.8,8,0,0,6,8,48,8.0,0,0,1,8.2,8.2,0.1%,2021,RB,1
28,Devin Singletary,NYG,11,72,6.5,25,1,0,3,5,8,2.7,0,0,1,8.0,8.0,43.6%,2021,RB,1
29,JaMycal Hasty,NE,1,3,3.0,3,0,1,1,1,15,15.0,0,0,1,7.8,7.8,0.7%,2021,RB,1
30,Derrick Henry,BAL,17,58,3.4,19,0,0,3,4,19,6.3,0,0,1,7.7,7.7,97.5%,2021,RB,1
31,Myles Gaskin,FA,9,49,5.4,15,0,0,5,5,27,5.4,0,0,1,7.6,7.6,0.0%,2021,RB,1
32,Mike Davis,FA,15,49,3.3,12,0,0,3,6,23,7.7,0,0,1,7.2,7.2,1.0%,2021,RB,1
33,Clyde Edwards-Helaire,NO,14,43,3.1,9,0,0,3,3,29,9.7,0,0,1,7.2,7.2,7.2%,2021,RB,1
34,Kenyan Drake,FA,6,11,1.8,6,0,0,5,5,59,11.8,0,0,1,7.0,7.0,1.1%,2021,RB,1
35,Cordarrelle Patterson,PIT,7,54,7.7,14,0,0,2,2,13,6.5,0,0,1,6.7,6.7,1.6%,2021,RB,1
36,James White,FA,4,12,3.0,10,0,0,6,7,49,8.2,0,0,1,6.1,6.1,0.1%,2021,RB,1
37,Leonard Fournette,FA,9,32,3.6,7,0,0,5,7,27,5.4,0,0,1,5.9,5.9,2.1%,2021,RB,1
38,Carlos Hyde,FA,9,44,4.9,13,0,0,2,2,14,7.0,0,0,1,5.8,5.8,0.0%,2021,RB,1
39,James Robinson,FA,5,25,5.0,7,0,0,3,6,29,9.7,0,0,1,5.4,5.4,0.0%,2021,RB,1
40,Tony Jones Jr.,FA,11,50,4.5,9,0,0,1,1,3,3.0,0,0,1,5.3,5.3,0.0%,2021,RB,1
41,James Conner,ARI,16,53,3.3,8,0,0,0,0,0,0,0,0,1,5.3,5.3,82.6%,2021,RB,1
42,Najee Harris,PIT,16,45,2.8,18,0,0,1,3,4,4.0,0,0,1,4.9,4.9,85.5%,2021,RB,1
43,Tony Pollard,TEN,3,14,4.7,11,0,0,4,4,29,7.3,0,0,1,4.3,4.3,80.4%,2021,RB,1
44,Javonte Williams,DEN,14,45,3.2,12,0,0,1,1,-4,-4.0,0,0,1,4.1,4.1,69.2%,2021,RB,1
45,Damien Williams,FA,6,12,2.0,6,0,0,4,5,28,7.0,0,0,1,4.0,4.0,0.0%,2021,RB,1
46,Ezekiel Elliott,FA,11,33,3.0,13,0,0,2,2,6,3.0,0,0,1,3.9,3.9,20.4%,2021,RB,1
47,Jeremy McNichols,WAS,2,9,4.5,8,0,0,3,4,24,8.0,0,0,1,3.3,3.3,3.0%,2021,RB,1
48,Keith Smith,FA,2,13,6.5,8,0,0,3,3,18,6.0,0,0,1,3.1,3.1,0.0%,2021,RB,1
49,Samaje Perine,KC,5,22,4.4,13,0,0,1,1,7,7.0,0,0,1,2.9,2.9,4.2%,2021,RB,1
