Rank,Team,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Joe Burrow,CIN,39,49,79.6,412,8.4,3,0,7,4,25,1,0,1,37.0,37.0,92.1%,2024,QB,17
2,Baker Mayfield,TB,27,32,84.4,359,11.2,5,0,2,1,2,0,0,1,34.6,34.6,86.5%,2024,QB,17
3,Drew Lock,NYG,17,23,73.9,309,13.4,4,0,0,5,0,1,0,1,34.4,34.4,4.4%,2024,QB,17
4,Jayden Daniels,WAS,24,36,66.7,227,6.3,3,1,5,16,127,0,0,1,32.8,32.8,94.0%,2024,QB,17
5,Brock Purdy,SF,27,35,77.1,377,10.8,3,2,2,3,12,1,0,1,32.3,32.3,79.2%,2024,QB,17
6,Lamar Jackson,BAL,10,15,66.7,168,11.2,2,0,1,4,87,1,0,1,29.4,29.4,97.0%,2024,QB,17
7,Patrick Mahomes II,KC,29,38,76.3,320,8.4,3,0,0,1,12,0,0,1,26.0,26.0,92.9%,2024,QB,17
8,Jared Goff,DET,26,34,76.5,303,8.9,3,0,2,3,-3,0,0,1,25.8,25.8,83.6%,2024,QB,17
9,Sam Darnold,MIN,33,43,76.7,377,8.8,3,1,1,3,-3,0,0,1,25.8,25.8,77.4%,2024,QB,17
10,Justin Herbert,LAC,26,38,68.4,281,7.4,3,0,0,3,12,0,0,1,24.4,24.4,77.4%,2024,QB,17
11,Tyler Huntley,MIA,22,26,84.6,225,8.7,1,0,4,7,52,1,0,1,24.2,24.2,1.8%,2024,QB,17
12,Josh Allen,BUF,16,27,59.3,182,6.7,2,0,0,5,17,1,0,1,23.0,23.0,97.2%,2024,QB,17
13,Bo Nix,DEN,24,31,77.4,219,7.1,3,1,2,7,31,0,0,1,22.9,22.9,73.0%,2024,QB,17
14,Russell Wilson,PIT,23,37,62.2,205,5.5,0,1,5,6,55,1,0,1,18.7,18.7,48.0%,2024,QB,17
15,Kyler Murray,ARI,33,48,68.8,321,6.7,1,2,4,4,32,0,0,1,18.0,18.0,84.0%,2024,QB,17
16,Aidan O'Connell,LV,20,35,57.1,242,6.9,2,0,1,3,-1,0,0,1,17.6,17.6,8.0%,2024,QB,17
17,Joe Flacco,IND,26,38,68.4,330,8.7,2,2,2,1,1,0,1,1,17.3,17.3,8.4%,2024,QB,17
18,Mac Jones,JAC,15,22,68.2,174,7.9,2,0,2,6,22,0,0,1,17.2,17.2,5.6%,2024,QB,17
19,Bryce Young,CAR,15,28,53.6,203,7.3,2,0,5,2,8,0,0,1,16.9,16.9,28.7%,2024,QB,17
20,Kenny Pickett,PHI,10,15,66.7,143,9.5,1,0,0,3,3,1,0,1,16.0,16.0,4.2%,2024,QB,17
21,Spencer Rattler,NO,20,36,55.6,218,6.1,1,2,3,3,46,0,0,1,15.3,15.3,7.6%,2024,QB,17
22,Jordan Love,GB,19,30,63.3,185,6.2,1,0,3,1,6,0,0,1,14.0,14.0,81.9%,2024,QB,17
23,Tyrod Taylor,NYJ,11,14,78.6,83,5.9,2,0,0,2,6,0,0,1,13.9,13.9,5.4%,2024,QB,17
24,Mason Rudolph,TEN,19,31,61.3,193,6.2,1,1,3,5,23,0,0,1,13.0,13.0,3.0%,2024,QB,17
25,Michael Penix Jr.,ATL,19,35,54.3,223,6.4,1,1,2,2,3,0,0,1,12.2,12.2,27.1%,2024,QB,17
26,Tanner McKee,PHI,3,4,75.0,54,13.5,2,0,0,2,-2,0,0,1,10.0,10.0,1.6%,2024,QB,17
27,Drake Maye,NE,12,22,54.5,117,5.3,1,0,4,6,32,0,1,1,9.9,9.9,32.1%,2024,QB,17
28,Matthew Stafford,LAR,17,32,53.1,189,5.9,0,0,0,6,16,0,0,1,9.2,9.2,54.5%,2024,QB,17
29,Geno Smith,SEA,17,23,73.9,160,7.0,0,0,3,3,19,0,0,1,8.3,8.3,49.4%,2024,QB,17
30,Joshua Dobbs,SF,3,4,75.0,35,8.8,0,0,0,1,7,1,0,1,8.1,8.1,2.4%,2024,QB,17
31,Cooper Rush,DAL,15,28,53.6,147,5.3,1,2,1,1,2,0,0,1,8.1,8.1,6.1%,2024,QB,17
32,Caleb Williams,CHI,16,28,57.1,122,4.4,0,1,7,5,37,0,0,1,7.6,7.6,55.0%,2024,QB,17
33,C.J. Stroud,HOU,17,31,54.8,185,6.0,0,1,5,1,7,0,0,1,7.1,7.1,79.4%,2024,QB,17
34,Mitchell Trubisky,BUF,1,1,100.0,69,69.0,1,0,0,2,-1,0,0,1,6.7,6.7,0.7%,2024,QB,17
35,Dorian Thompson-Robinson,CLE,24,47,51.1,170,3.6,0,1,1,4,10,0,1,1,4.8,4.8,1.1%,2024,QB,17
36,Aaron Rodgers,NYJ,12,18,66.7,112,6.2,0,2,4,0,0,0,0,1,2.5,2.5,47.5%,2024,QB,17
37,Taylor Heinicke,LAC,0,2,0.0,0,0.0,0,0,0,1,8,0,0,1,0.8,0.8,1.1%,2024,QB,17
38,Josh Johnson,BAL,1,2,50.0,16,8.0,0,0,0,0,0,0,0,1,0.6,0.6,0.1%,2024,QB,17
39,Davis Mills,HOU,1,1,100.0,5,5.0,0,0,0,0,0,0,0,1,0.2,0.2,0.1%,2024,QB,17
