Rank,Team,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Ja'Marr Chase,CIN,10,12,193,19.3,70,2,2,0,0,0,0,1,31.3,31.3,94.0%,2024,WR,5
2,Darnell Mooney,ATL,9,16,105,11.7,24,2,2,0,0,0,0,1,22.5,22.5,67.9%,2024,WR,5
3,DJ Moore,CHI,5,8,105,21.0,34,3,2,0,0,0,0,1,22.5,22.5,86.7%,2024,WR,5
4,Drake London,ATL,12,13,154,12.8,31,1,1,0,0,0,0,1,21.4,21.4,91.6%,2024,WR,5
5,Tee Higgins,CIN,9,14,83,9.2,17,0,2,0,0,0,0,1,20.3,20.3,87.7%,2024,WR,5
6,Alec Pierce,IND,3,3,134,44.7,65,3,1,0,0,0,0,1,19.4,19.4,18.9%,2024,WR,5
7,Brian Thomas Jr.,JAC,5,8,122,24.4,85,1,1,0,0,0,0,1,18.2,18.2,86.3%,2024,WR,5
8,Mike Evans,TB,5,7,62,12.4,23,1,2,0,0,0,0,1,18.2,18.2,94.8%,2024,WR,5
9,Darius Slayton,NYG,8,11,122,15.3,41,2,1,0,0,0,0,1,18.2,18.2,9.9%,2024,WR,5
10,Garrett Wilson,NYJ,13,23,101,7.8,16,0,1,0,0,0,0,1,16.1,16.1,91.1%,2024,WR,5
11,Brandon Aiyuk,SF,8,12,147,18.4,53,2,0,0,0,0,0,1,14.7,14.7,43.5%,2024,WR,5
12,Jalen Tolbert,DAL,7,10,87,12.4,48,1,1,0,0,0,0,1,14.7,14.7,15.7%,2024,WR,5
13,Rashid Shaheed,NO,4,9,86,21.5,43,2,1,0,0,0,0,1,14.6,14.6,31.4%,2024,WR,5
14,Nico Collins,HOU,2,2,78,39.0,67,1,1,0,0,0,0,1,13.8,13.8,95.3%,2024,WR,5
15,JuJu Smith-Schuster,KC,7,8,130,18.6,50,2,0,0,0,0,0,1,13.0,13.0,3.9%,2024,WR,5
16,KhaDarel Hodge,ATL,2,2,67,33.5,45,2,1,0,0,0,0,1,12.7,12.7,0.1%,2024,WR,5
17,Zay Flowers,BAL,7,12,111,15.9,26,2,0,1,9,0,0,1,12.0,12.0,90.3%,2024,WR,5
18,Rashod Bateman,BAL,4,8,58,14.5,18,0,1,0,0,0,0,1,11.8,11.8,35.3%,2024,WR,5
19,Dyami Brown,WAS,2,2,57,28.5,41,1,1,0,0,0,0,1,11.7,11.7,11.7%,2024,WR,5
20,Keon Coleman,BUF,1,5,49,49.0,49,1,1,0,0,0,0,1,10.9,10.9,51.9%,2024,WR,5
21,Wan'Dale Robinson,NYG,6,9,36,6.0,9,0,1,1,4,0,0,1,10.0,10.0,36.9%,2024,WR,5
22,Michael Pittman Jr.,IND,5,8,37,7.4,27,1,1,0,0,0,0,1,9.7,9.7,70.7%,2024,WR,5
23,Jayden Reed,GB,4,6,78,19.5,53,1,0,2,19,0,0,1,9.7,9.7,82.1%,2024,WR,5
24,Allen Lazard,NYJ,4,9,34,8.5,14,0,1,0,0,0,0,1,9.4,9.4,6.7%,2024,WR,5
25,Terry McLaurin,WAS,4,8,112,28.0,66,2,0,1,2,0,1,1,9.4,9.4,91.3%,2024,WR,5
26,Justin Jefferson,MIN,6,14,92,15.3,27,3,0,0,0,0,0,1,9.2,9.2,98.3%,2024,WR,5
27,Jaxon Smith-Njigba,SEA,4,7,31,7.8,15,0,1,0,0,0,0,1,9.1,9.1,85.4%,2024,WR,5
