Rank,Team,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Saquon Barkley,PHI,27,159,5.9,21,1,1,3,4,40,13.3,1,1,1,29.9,29.9,97.8%,2024,RB,9
2,Derrick Henry,BAL,23,106,4.6,20,1,2,1,1,27,27.0,0,0,1,25.3,25.3,97.5%,2024,RB,9
3,De'Von Achane,MIA,12,63,5.3,12,0,1,8,8,58,7.3,1,0,1,24.1,24.1,92.9%,2024,RB,9
4,J.K. Dobbins,LAC,14,85,6.1,34,1,2,2,2,20,10.0,0,0,1,22.5,22.5,74.2%,2024,RB,9
5,Chase Brown,CIN,27,120,4.4,21,1,0,5,5,37,7.4,1,0,1,21.7,21.7,85.5%,2024,RB,9
6,Alvin Kamara,NO,29,155,5.3,20,1,0,6,9,60,10.0,0,0,1,21.5,21.5,87.9%,2024,RB,9
7,Chuba Hubbard,CAR,15,72,4.8,16,0,2,2,3,0,0.0,0,0,1,19.2,19.2,73.0%,2024,RB,9
8,Kareem Hunt,KC,27,106,3.9,15,0,1,1,1,11,11.0,0,0,1,17.7,17.7,48.5%,2024,RB,9
9,Rhamondre Stevenson,NE,10,16,1.6,5,0,1,5,5,38,7.6,1,0,1,17.4,17.4,80.6%,2024,RB,9
10,Rico Dowdle,DAL,12,75,6.3,15,0,0,5,6,32,6.4,1,0,1,16.7,16.7,73.9%,2024,RB,9
11,Joe Mixon,HOU,24,106,4.4,29,1,1,0,0,0,0,0,0,1,16.6,16.6,93.9%,2024,RB,9
12,Tony Pollard,TEN,28,128,4.6,32,1,0,3,3,26,8.7,0,0,1,15.4,15.4,80.4%,2024,RB,9
13,Ray Davis,BUF,4,20,5.0,8,0,0,2,2,70,35.0,1,0,1,15.0,15.0,28.7%,2024,RB,9
14,Bijan Robinson,ATL,19,86,4.5,16,0,0,7,7,59,8.4,0,0,1,14.5,14.5,94.6%,2024,RB,9
15,Austin Ekeler,WAS,11,42,3.8,20,1,1,3,4,41,13.7,0,0,1,14.3,14.3,51.4%,2024,RB,9
16,Emari Demercado,ARI,4,59,14.8,53,1,1,2,2,21,10.5,0,0,1,14.0,14.0,1.5%,2024,RB,9
17,Jahmyr Gibbs,DET,11,65,5.9,18,0,1,1,2,11,11.0,0,0,1,13.6,13.6,97.5%,2024,RB,9
18,James Conner,ARI,18,107,5.9,16,0,0,3,3,12,4.0,0,0,1,11.9,11.9,82.6%,2024,RB,9
19,Trey Benson,ARI,8,37,4.6,17,0,1,1,1,18,18.0,0,0,1,11.5,11.5,31.0%,2024,RB,9
20,Josh Jacobs,GB,13,95,7.3,37,1,0,2,3,13,6.5,0,0,1,10.8,10.8,96.3%,2024,RB,9
21,Kenneth Walker III,SEA,25,83,3.3,10,0,0,3,3,24,8.0,0,0,1,10.7,10.7,81.7%,2024,RB,9
22,David Montgomery,DET,17,73,4.3,12,0,0,3,3,23,7.7,0,0,1,9.6,9.6,75.4%,2024,RB,9
23,Kyren Williams,LAR,22,69,3.1,9,0,0,1,3,26,26.0,0,0,1,9.5,9.5,94.2%,2024,RB,9
24,Samaje Perine,KC,1,10,10.0,10,0,0,4,5,25,6.3,1,0,1,9.5,9.5,4.2%,2024,RB,9
25,Rachaad White,TB,3,19,6.3,9,0,1,3,3,16,5.3,0,0,1,9.5,9.5,85.8%,2024,RB,9
26,Emanuel Wilson,GB,4,28,7.0,19,0,1,1,1,1,1.0,0,0,1,8.9,8.9,4.8%,2024,RB,9
27,Breece Hall,NYJ,15,74,4.9,16,0,0,2,4,11,5.5,0,0,1,8.5,8.5,91.6%,2024,RB,9
28,Javonte Williams,DEN,12,42,3.5,7,0,0,2,3,42,21.0,0,0,1,8.4,8.4,69.2%,2024,RB,9
29,Aaron Jones Sr.,MIN,21,64,3.0,13,0,0,4,4,18,4.5,0,0,1,8.2,8.2,91.4%,2024,RB,9
30,D'Andre Swift,CHI,16,51,3.2,13,0,0,6,6,31,5.2,0,0,1,8.2,8.2,83.1%,2024,RB,9
31,Tyler Allgeier,ATL,6,18,3.0,6,0,1,0,0,0,0,0,0,1,7.8,7.8,36.7%,2024,RB,9
32,Zamir White,LV,6,10,1.7,4,0,1,0,0,0,0,0,0,1,7.0,7.0,30.0%,2024,RB,9
33,Tyrone Tracy Jr.,NYG,16,66,4.1,10,0,0,1,1,3,3.0,0,0,1,6.9,6.9,74.5%,2024,RB,9
34,James Cook,BUF,10,44,4.4,13,0,0,5,6,25,5.0,0,0,1,6.9,6.9,93.1%,2024,RB,9
35,Raheem Mostert,FA,10,56,5.6,16,0,0,2,2,32,16.0,0,1,1,6.8,6.8,42.9%,2024,RB,9
36,Patrick Ricard,BAL,0,0,0,0,0,0,1,1,3,3.0,1,0,1,6.3,6.3,0.8%,2024,RB,9
37,Jonathan Taylor,IND,13,48,3.7,13,0,0,3,5,11,3.7,0,0,1,5.9,5.9,92.9%,2024,RB,9
38,Justice Hill,BAL,5,15,3.0,8,0,0,3,3,43,14.3,0,0,1,5.8,5.8,24.4%,2024,RB,9
39,Cam Akers,MIN,6,46,7.7,13,0,0,2,2,7,3.5,0,0,1,5.3,5.3,14.2%,2024,RB,9
40,Chris Rodriguez Jr.,WAS,11,52,4.7,17,0,0,0,0,0,0,0,0,1,5.2,5.2,2.2%,2024,RB,9
41,Chris Brooks,GB,2,13,6.5,9,0,0,3,4,28,9.3,0,0,1,4.1,4.1,0.7%,2024,RB,9
42,Jordan Mims,NO,5,13,2.6,6,0,0,1,1,25,25.0,0,0,1,3.8,3.8,0.8%,2024,RB,9
43,Alexander Mattison,LV,9,36,4.0,7,0,0,0,0,0,0,0,0,1,3.6,3.6,44.8%,2024,RB,9
