Rank,Team,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Hunter Henry,NE,5,6,56,11.2,13,0,1,0,0,0,0,1,11.6,11.6,53.6%,2023,TE,1
2,Hayden Hurst,LAC,5,7,41,8.2,14,0,1,0,0,0,0,1,10.1,10.1,2.7%,2023,TE,1
3,Donald Parham Jr.,PIT,3,3,22,7.3,16,0,1,0,0,0,0,1,8.2,8.2,1.9%,2023,TE,1
4,Blake Bell,FA,2,3,12,6.0,8,0,1,0,0,0,0,1,7.2,7.2,0.0%,2023,TE,1
5,Harrison Bryant,LV,2,2,5,2.5,3,0,1,0,0,0,0,1,6.5,6.5,0.0%,2023,TE,1
6,Pat Freiermuth,PIT,1,4,3,3.0,3,0,1,0,0,0,0,1,6.3,6.3,63.9%,2023,TE,1
7,Luke Musgrave,GB,3,4,50,16.7,37,1,0,0,0,0,0,1,5.0,5.0,18.1%,2023,TE,1
8,Evan Engram,JAC,5,5,49,9.8,26,1,0,0,0,0,0,1,4.9,4.9,57.4%,2023,TE,1
9,Tyler Higbee,LAR,3,3,49,16.3,30,1,0,0,0,0,0,1,4.9,4.9,9.2%,2023,TE,1
10,Durham Smythe,FA,3,7,44,14.7,18,0,0,0,0,0,0,1,4.4,4.4,0.1%,2023,TE,1
11,Kyle Pitts,ATL,2,3,44,22.0,34,1,0,0,0,0,0,1,4.4,4.4,73.0%,2023,TE,1
12,Cole Kmet,CHI,5,7,44,8.8,15,0,0,1,0,0,0,1,4.4,4.4,42.7%,2023,TE,1
13,Logan Thomas,FA,4,8,43,10.8,19,0,0,0,0,0,0,1,4.3,4.3,0.0%,2023,TE,1
14,Sam LaPorta,DET,5,5,39,7.8,14,0,0,0,0,0,0,1,3.9,3.9,93.3%,2023,TE,1
15,Kylen Granson,IND,4,6,39,9.8,14,0,0,0,0,0,0,1,3.9,3.9,1.2%,2023,TE,1
16,Mike Gesicki,CIN,3,3,36,12.0,17,0,0,0,0,0,0,1,3.6,3.6,29.2%,2023,TE,1
17,Juwan Johnson,NO,3,5,36,12.0,27,1,0,0,0,0,0,1,3.6,3.6,19.4%,2023,TE,1
18,Darren Waller,FA,3,5,36,12.0,22,1,0,0,0,0,0,1,3.6,3.6,1.1%,2023,TE,1
19,T.J. Hockenson,MIN,8,9,35,4.4,14,0,0,0,0,0,0,1,3.5,3.5,83.0%,2023,TE,1
20,Adam Trautman,DEN,5,5,34,6.8,15,0,0,0,0,0,0,1,3.4,3.4,1.1%,2023,TE,1
21,Josh Oliver,MIN,3,3,32,10.7,18,0,0,0,0,0,0,1,3.2,3.2,1.4%,2023,TE,1
22,Noah Gray,KC,3,5,31,10.3,24,1,0,0,0,0,0,1,3.1,3.1,22.5%,2023,TE,1
