Rank,Team,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Lamar Jackson,BAL,18,29,62.1,218,7.5,4,1,4,11,107,1,0,1,40.4,40.4,97.0%,2022,QB,3
2,Jalen Hurts,PHI,22,35,62.9,340,9.7,3,0,3,9,20,0,0,1,27.6,27.6,91.6%,2022,QB,3
3,Josh Allen,BUF,42,63,66.7,400,6.3,2,0,4,8,47,0,1,1,26.7,26.7,97.2%,2022,QB,3
4,Trevor Lawrence,JAC,28,39,71.8,262,6.7,3,0,0,3,7,0,0,1,25.2,25.2,30.9%,2022,QB,3
5,Joe Burrow,CIN,23,36,63.9,275,7.6,3,0,2,5,0,0,0,1,23.0,23.0,92.1%,2022,QB,3
6,Derek Carr,NO,26,44,59.1,303,6.9,2,1,1,2,17,0,0,1,20.8,20.8,20.5%,2022,QB,3
7,Geno Smith,SEA,32,44,72.7,325,7.4,2,1,2,2,-1,0,0,1,19.9,19.9,49.4%,2022,QB,3
8,Ryan Tannehill,FA,19,27,70.4,264,9.8,1,1,1,4,2,1,0,1,19.8,19.8,1.3%,2022,QB,3
9,Mac Jones,JAC,22,32,68.8,321,10.0,0,3,3,5,31,1,0,1,18.9,18.9,5.6%,2022,QB,3
10,Kirk Cousins,ATL,24,41,58.5,260,6.3,2,0,1,1,-1,0,0,1,18.3,18.3,43.6%,2022,QB,3
11,Patrick Mahomes II,KC,20,35,57.1,262,7.5,1,1,1,4,26,0,0,1,18.1,18.1,92.9%,2022,QB,3
12,Jacoby Brissett,NE,21,31,67.7,220,7.1,2,0,2,3,11,0,0,1,17.9,17.9,3.9%,2022,QB,3
13,Aaron Rodgers,NYJ,27,35,77.1,255,7.3,2,1,1,1,-1,0,0,1,17.1,17.1,47.5%,2022,QB,3
14,Marcus Mariota,WAS,13,20,65.0,229,11.5,1,1,3,7,4,1,1,1,16.6,16.6,2.7%,2022,QB,3
15,Jameis Winston,CLE,25,41,61.0,353,8.6,1,2,1,2,5,0,0,1,16.6,16.6,19.6%,2022,QB,3
16,Matt Ryan,FA,27,37,73.0,222,6.0,2,0,5,3,4,0,1,1,15.3,15.3,0.1%,2022,QB,3
17,Mitchell Trubisky,BUF,20,32,62.5,207,6.5,0,0,1,2,7,1,0,1,15.0,15.0,0.7%,2022,QB,3
18,Jared Goff,DET,25,41,61.0,277,6.8,1,1,0,2,8,0,0,1,14.9,14.9,83.6%,2022,QB,3
19,Daniel Jones,MIN,20,37,54.1,196,5.3,0,1,5,9,79,0,0,1,14.7,14.7,13.0%,2022,QB,3
20,Tom Brady,FA,31,42,73.8,271,6.5,1,0,3,1,-1,0,0,1,14.7,14.7,5.3%,2022,QB,3
21,Justin Herbert,LAC,25,45,55.6,297,6.6,1,1,1,1,7,0,1,1,13.6,13.6,77.4%,2022,QB,3
22,Kyler Murray,ARI,37,58,63.8,314,5.4,0,0,2,2,8,0,0,1,13.4,13.4,84.0%,2022,QB,3
23,Cooper Rush,DAL,21,31,67.7,215,6.9,1,0,0,2,-2,0,0,1,12.4,12.4,6.1%,2022,QB,3
24,Davis Mills,HOU,20,32,62.5,245,7.7,1,2,1,0,0,0,0,1,11.8,11.8,0.1%,2022,QB,3
25,Tua Tagovailoa,MIA,13,18,72.2,186,10.3,1,0,1,1,0,0,0,1,11.4,11.4,62.5%,2022,QB,3
26,Baker Mayfield,TB,12,25,48.0,170,6.8,1,0,3,1,-1,0,0,1,10.7,10.7,86.5%,2022,QB,3
27,Matthew Stafford,LAR,18,25,72.0,249,10.0,0,0,1,3,2,0,0,1,10.2,10.2,54.5%,2022,QB,3
28,Jimmy Garoppolo,LAR,18,29,62.1,211,7.3,1,1,4,1,0,0,1,1,9.4,9.4,2.8%,2022,QB,3
29,Russell Wilson,PIT,20,33,60.6,184,5.6,0,0,4,6,17,0,0,1,9.1,9.1,48.0%,2022,QB,3
30,Carson Wentz,KC,25,43,58.1,211,4.9,0,0,9,3,22,0,1,1,8.6,8.6,1.1%,2022,QB,3
31,Justin Fields,PIT,8,17,47.1,106,6.2,0,2,5,8,47,0,0,1,6.9,6.9,20.2%,2022,QB,3
32,Joe Flacco,IND,28,52,53.8,285,5.5,0,2,4,0,0,0,2,1,5.4,5.4,8.4%,2022,QB,3
33,Teddy Bridgewater,DET,0,2,0.0,0,0.0,0,0,1,0,0,0,0,1,0.0,0.0,0.8%,2022,QB,3
34,C.J. Beathard,JAC,0,0,0,0,0,0,0,0,1,-1,0,0,1,-0.1,-0.1,0.0%,2022,QB,3
