Rank,Team,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Chris Godwin,TB,11,13,125,11.4,55,2,2,0,0,0,0,1,24.5,24.5,45.3%,2024,WR,6
2,Deebo Samuel Sr.,WAS,3,5,102,34.0,76,1,1,4,15,0,0,1,17.7,17.7,84.5%,2024,WR,6
3,A.J. Brown,PHI,6,9,116,19.3,40,2,1,0,0,0,0,1,17.6,17.6,96.7%,2024,WR,6
4,Allen Lazard,NYJ,6,7,114,19.0,52,2,1,0,0,0,0,1,17.4,17.4,6.7%,2024,WR,6
5,Terry McLaurin,WAS,6,7,53,8.8,14,0,2,1,0,0,0,1,17.3,17.3,91.3%,2024,WR,6
6,Romeo Doubs,GB,3,4,49,16.3,20,1,2,0,0,0,0,1,16.9,16.9,47.5%,2024,WR,6
7,Garrett Wilson,NYJ,8,10,107,13.4,24,2,1,0,0,0,0,1,16.7,16.7,91.1%,2024,WR,6
8,Gabe Davis,JAC,5,8,45,9.0,21,1,2,0,0,0,0,1,16.5,16.5,18.0%,2024,WR,6
9,Keenan Allen,CHI,5,5,41,8.2,11,0,2,0,0,0,0,1,16.1,16.1,76.2%,2024,WR,6
10,DeMario Douglas,NE,6,9,92,15.3,35,2,1,0,0,0,0,1,15.2,15.2,28.9%,2024,WR,6
11,Jameson Williams,DET,3,4,76,25.3,37,2,1,1,11,0,0,1,14.7,14.7,80.0%,2024,WR,6
12,Diontae Johnson,BAL,6,10,78,13.0,19,0,1,0,0,0,0,1,13.8,13.8,39.6%,2024,WR,6
13,Stefon Diggs,HOU,6,7,77,12.8,26,1,1,0,0,0,0,1,13.7,13.7,46.3%,2024,WR,6
14,Drake London,ATL,6,10,74,12.3,24,1,1,0,0,0,0,1,13.4,13.4,91.6%,2024,WR,6
15,Zay Flowers,BAL,9,9,132,14.7,44,2,0,1,2,0,0,1,13.4,13.4,90.3%,2024,WR,6
16,Christian Watson,GB,3,4,68,22.7,44,1,1,0,0,0,0,1,12.8,12.8,51.0%,2024,WR,6
17,Tyler Lockett,FA,4,8,65,16.3,37,1,1,0,0,0,0,1,12.5,12.5,44.2%,2024,WR,6
18,Josh Downs,IND,7,9,66,9.4,22,1,1,1,-1,0,0,1,12.5,12.5,62.9%,2024,WR,6
19,DeVonta Smith,PHI,3,4,64,21.3,45,1,1,0,0,0,0,1,12.4,12.4,89.2%,2024,WR,6
20,Kayshon Boutte,NE,3,3,59,19.7,40,1,1,0,0,0,0,1,11.9,11.9,12.8%,2024,WR,6
21,Tank Dell,HOU,7,9,57,8.1,20,1,1,0,0,0,0,1,11.7,11.7,66.8%,2024,WR,6
22,Courtland Sutton,DEN,4,6,53,13.3,20,1,1,0,0,0,0,1,11.3,11.3,84.6%,2024,WR,6
23,Bub Means,NO,5,8,45,9.0,14,0,1,0,0,0,0,1,10.5,10.5,1.1%,2024,WR,6
24,Amon-Ra St. Brown,DET,4,4,37,9.3,16,0,1,0,0,0,0,1,9.7,9.7,97.2%,2024,WR,6
25,Troy Franklin,DEN,2,3,31,15.5,29,1,1,1,5,0,0,1,9.6,9.6,14.9%,2024,WR,6
26,Michael Pittman Jr.,IND,3,5,35,11.7,16,0,1,0,0,0,0,1,9.5,9.5,70.7%,2024,WR,6
27,CeeDee Lamb,DAL,7,14,89,12.7,27,1,0,1,2,0,0,1,9.1,9.1,87.2%,2024,WR,6
28,Jayden Reed,GB,6,6,28,4.7,7,0,1,1,0,0,0,1,8.8,8.8,82.1%,2024,WR,6
29,Xavier Legette,CAR,3,4,23,7.7,13,0,1,0,0,0,0,1,8.3,8.3,34.2%,2024,WR,6
30,Michael Wilson,ARI,2,4,21,10.5,18,0,1,0,0,0,0,1,8.1,8.1,16.9%,2024,WR,6
31,Kristian Wilkerson,LV,2,3,18,9.0,9,0,1,0,0,0,0,1,7.8,7.8,1.3%,2024,WR,6
32,Devaughn Vele,DEN,4,6,78,19.5,37,2,0,0,0,0,0,1,7.8,7.8,13.4%,2024,WR,6
33,Tee Higgins,CIN,7,7,77,11.0,24,1,0,0,0,0,0,1,7.7,7.7,87.7%,2024,WR,6
34,Kalif Raymond,DET,4,6,73,18.3,38,1,0,0,0,0,0,1,7.3,7.3,2.6%,2024,WR,6
35,Rashid Shaheed,NO,1,7,11,11.0,11,0,0,1,2,0,0,1,7.3,7.3,31.4%,2024,WR,6
36,Ja'Marr Chase,CIN,5,6,72,14.4,33,1,0,0,0,0,0,1,7.2,7.2,94.0%,2024,WR,6
37,Rashod Bateman,BAL,4,4,71,17.8,23,1,0,0,0,0,0,1,7.1,7.1,35.3%,2024,WR,6
38,Nick Westbrook-Ikhine,TEN,1,2,9,9.0,9,0,1,0,0,0,0,1,6.9,6.9,23.7%,2024,WR,6
39,Mack Hollins,BUF,1,2,8,8.0,8,0,1,0,0,0,0,1,6.8,6.8,2.5%,2024,WR,6
40,Tim Patrick,DET,3,3,68,22.7,42,1,0,0,0,0,0,1,6.8,6.8,6.3%,2024,WR,6
41,Noah Brown,WAS,4,8,58,14.5,28,1,0,0,0,0,0,1,5.8,5.8,5.8%,2024,WR,6
42,Darius Slayton,NYG,6,11,57,9.5,15,0,0,0,0,0,0,1,5.7,5.7,9.9%,2024,WR,6
43,Sterling Shepard,TB,3,4,23,7.7,9,0,0,4,31,0,0,1,5.4,5.4,5.1%,2024,WR,6
44,DeAndre Hopkins,KC,4,6,54,13.5,23,1,0,0,0,0,0,1,5.4,5.4,72.8%,2024,WR,6
45,Jaxon Smith-Njigba,SEA,5,9,53,10.6,19,0,0,0,0,0,0,1,5.3,5.3,85.4%,2024,WR,6
46,George Pickens,PIT,3,8,53,17.7,31,1,0,0,0,0,0,1,5.3,5.3,88.7%,2024,WR,6
47,Wan'Dale Robinson,NYG,5,11,50,10.0,15,0,0,0,0,0,0,1,5.0,5.0,36.9%,2024,WR,6
48,DK Metcalf,SEA,3,11,48,16.0,30,1,0,0,0,0,0,1,4.8,4.8,88.3%,2024,WR,6
49,Curtis Samuel,BUF,3,4,44,14.7,38,1,0,0,0,0,0,1,4.4,4.4,17.8%,2024,WR,6
50,Simi Fehoko,LAC,2,4,44,22.0,30,1,0,0,0,0,0,1,4.4,4.4,1.0%,2024,WR,6
51,Ladd McConkey,LAC,4,8,43,10.8,15,0,0,0,0,0,0,1,4.3,4.3,85.2%,2024,WR,6
52,Jalen Tolbert,DAL,4,5,43,10.8,26,1,0,0,0,0,0,1,4.3,4.3,15.7%,2024,WR,6
53,Amari Cooper,BUF,4,6,42,10.5,14,0,0,0,0,0,0,1,4.2,4.2,75.3%,2024,WR,6
54,Rome Odunze,CHI,2,2,40,20.0,28,1,0,0,0,0,0,1,4.0,4.0,62.7%,2024,WR,6
55,Laviska Shenault Jr.,FA,0,0,0,0,0,0,0,0,0,0,1,1,4.0,4.0,0.1%,2024,WR,6
56,Ryan Miller,TB,1,1,39,39.0,39,1,0,0,0,0,0,1,3.9,3.9,1.0%,2024,WR,6
57,Christian Kirk,JAC,3,6,39,13.0,15,0,0,0,0,0,0,1,3.9,3.9,34.9%,2024,WR,6
58,Joshua Palmer,LAC,2,3,38,19.0,24,1,0,0,0,0,0,1,3.8,3.8,18.9%,2024,WR,6
59,Darnell Mooney,ATL,3,5,38,12.7,19,0,0,0,0,0,0,1,3.8,3.8,67.9%,2024,WR,6
60,Brandon Aiyuk,SF,2,4,37,18.5,21,1,0,0,0,0,0,1,3.7,3.7,43.5%,2024,WR,6
61,DJ Turner,LV,2,4,37,18.5,30,1,0,0,0,0,0,1,3.7,3.7,0.6%,2024,WR,6
62,Calvin Austin III,PIT,2,5,36,18.0,20,1,0,0,0,0,0,1,3.6,3.6,10.7%,2024,WR,6
