Rank,Team,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Joe Burrow,CIN,24,39,61.5,355,9.1,4,2,2,4,5,0,0,1,28.7,28.7,92.1%,2022,QB,11
2,Patrick Mahomes II,KC,20,34,58.8,329,9.7,3,0,1,4,23,0,0,1,27.5,27.5,92.9%,2022,QB,11
3,Daniel Jones,MIN,27,44,61.4,341,7.8,1,2,2,7,50,1,0,1,26.6,26.6,13.0%,2022,QB,11
4,Jacoby Brissett,NE,28,41,68.3,324,7.9,3,0,1,7,29,0,1,1,25.9,25.9,3.9%,2022,QB,11
5,Jimmy Garoppolo,LAR,20,29,69.0,228,7.9,4,0,0,1,3,0,0,1,25.4,25.4,2.8%,2022,QB,11
6,Jalen Hurts,PHI,18,25,72.0,190,7.6,1,0,3,16,86,1,1,1,24.2,24.2,91.6%,2022,QB,11
7,Justin Fields,PIT,14,21,66.7,153,7.3,1,1,4,18,85,1,0,1,23.6,23.6,20.2%,2022,QB,11
8,Andy Dalton,CAR,21,25,84.0,260,10.4,3,0,3,2,-2,0,0,1,22.2,22.2,2.5%,2022,QB,11
9,Dak Prescott,DAL,22,25,88.0,276,11.0,2,0,0,3,16,0,0,1,20.6,20.6,37.8%,2022,QB,11
10,Derek Carr,NO,23,37,62.2,307,8.3,2,0,1,0,0,0,0,1,20.3,20.3,20.5%,2022,QB,11
11,Ryan Tannehill,FA,22,27,81.5,333,12.3,2,1,3,3,-3,0,0,1,20.0,20.0,1.3%,2022,QB,11
12,Justin Herbert,LAC,23,30,76.7,280,9.3,2,1,5,5,17,0,0,1,19.7,19.7,77.4%,2022,QB,11
13,Aaron Rodgers,NYJ,24,39,61.5,227,5.8,2,0,1,0,0,0,0,1,19.1,19.1,47.5%,2022,QB,11
14,Marcus Mariota,WAS,13,20,65.0,131,6.6,1,0,0,13,25,1,0,1,17.7,17.7,2.7%,2022,QB,11
15,Lamar Jackson,BAL,24,33,72.7,209,6.3,0,1,3,11,31,1,0,1,16.5,16.5,97.0%,2022,QB,11
16,Kenny Pickett,PHI,25,42,59.5,265,6.3,1,0,2,2,14,0,0,1,16.0,16.0,4.2%,2022,QB,11
17,Matthew Stafford,LAR,11,18,61.1,159,8.8,2,0,1,1,4,0,0,1,14.8,14.8,54.5%,2022,QB,11
18,Josh Allen,BUF,18,27,66.7,197,7.3,1,0,2,3,7,0,0,1,12.6,12.6,97.2%,2022,QB,11
19,Davis Mills,HOU,19,33,57.6,169,5.1,0,2,5,5,10,1,0,1,11.8,11.8,0.1%,2022,QB,11
20,Russell Wilson,PIT,24,31,77.4,247,8.0,0,0,3,1,8,0,0,1,10.7,10.7,48.0%,2022,QB,11
21,Mac Jones,JAC,23,27,85.2,246,9.1,0,0,6,2,3,0,0,1,10.1,10.1,5.6%,2022,QB,11
22,Matt Ryan,FA,23,32,71.9,213,6.7,0,0,4,1,1,0,0,1,8.6,8.6,0.1%,2022,QB,11
23,Colt McCoy,FA,24,34,70.6,218,6.4,0,1,3,3,6,0,0,1,8.3,8.3,0.0%,2022,QB,11
24,Taylor Heinicke,LAC,15,27,55.6,191,7.1,0,0,0,3,2,0,0,1,7.8,7.8,1.1%,2022,QB,11
25,Baker Mayfield,TB,21,33,63.6,196,5.9,0,2,4,2,12,0,0,1,7.0,7.0,86.5%,2022,QB,11
26,Jared Goff,DET,17,26,65.4,165,6.3,0,0,0,4,-1,0,0,1,6.5,6.5,83.6%,2022,QB,11
27,Bryce Perkins,FA,5,10,50.0,64,6.4,0,0,3,5,39,0,0,1,6.5,6.5,0.0%,2022,QB,11
28,Zach Wilson,DEN,9,22,40.9,77,3.5,0,0,4,3,26,0,0,1,5.7,5.7,0.9%,2022,QB,11
29,Nick Mullens,MIN,5,7,71.4,54,7.7,0,0,0,0,0,0,0,1,2.2,2.2,0.6%,2022,QB,11
30,Kirk Cousins,ATL,12,23,52.2,105,4.6,0,0,7,0,0,0,1,1,2.2,2.2,43.6%,2022,QB,11
31,Trace McSorley,FA,6,10,60.0,59,5.9,0,1,0,1,6,0,0,1,2.0,2.0,0.8%,2022,QB,11
32,Cooper Rush,DAL,4,5,80.0,31,6.2,0,0,0,0,0,0,0,1,1.2,1.2,6.1%,2022,QB,11
33,Brock Purdy,SF,0,0,0,0,0,0,0,0,3,3,0,0,1,0.3,0.3,79.2%,2022,QB,11
34,Taysom Hill,NO,1,3,33.3,14,4.7,0,0,1,9,52,0,0,1,0.0,0.0,27.7%,2022,QB,11
