Rank,Team,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Josh Jacobs,GB,25,93,3.7,14,0,3,4,6,46,11.5,0,0,1,31.9,31.9,96.3%,2020,RB,1
2,Christian McCaffrey,SF,23,97,4.2,15,0,2,3,4,38,12.7,0,0,1,25.5,25.5,66.6%,2020,RB,1
3,Ezekiel Elliott,FA,22,96,4.4,14,0,1,3,4,31,10.3,1,0,1,24.7,24.7,20.4%,2020,RB,1
4,Malcolm Brown,FA,18,79,4.4,12,0,2,3,4,31,10.3,0,0,1,23.0,23.0,0.0%,2020,RB,1
5,Raheem Mostert,FA,15,56,3.7,14,0,0,4,5,95,23.8,1,0,1,21.1,21.1,42.9%,2020,RB,1
6,Dalvin Cook,FA,12,50,4.2,12,0,2,1,2,-2,-2.0,0,0,1,20.8,20.8,0.9%,2020,RB,1
7,Clyde Edwards-Helaire,NO,25,138,5.5,27,1,1,0,2,0,0,0,0,1,19.8,19.8,7.2%,2020,RB,1
8,Nyheim Hines,FA,7,28,4.0,12,0,1,8,8,45,5.6,1,0,1,19.3,19.3,0.1%,2020,RB,1
9,Alvin Kamara,NO,12,16,1.3,6,0,1,5,8,51,10.2,1,0,1,18.7,18.7,87.9%,2020,RB,1
10,Chris Carson,FA,6,21,3.5,11,0,0,6,6,45,7.5,2,0,1,18.6,18.6,0.3%,2020,RB,1
11,David Johnson,FA,11,77,7.0,19,0,1,3,4,32,10.7,0,0,1,16.9,16.9,0.0%,2020,RB,1
12,Peyton Barber,FA,17,29,1.7,8,0,2,0,0,0,0,0,0,1,14.9,14.9,1.0%,2020,RB,1
13,J.K. Dobbins,LAC,7,22,3.1,12,0,2,0,0,0,0,0,0,1,14.2,14.2,74.2%,2020,RB,1
14,Aaron Jones Sr.,MIN,16,66,4.1,15,0,1,4,6,10,2.5,0,0,1,13.6,13.6,91.4%,2020,RB,1
15,Derrick Henry,BAL,31,116,3.7,13,0,0,3,3,15,5.0,0,0,1,13.1,13.1,97.5%,2020,RB,1
16,Melvin Gordon III,FA,15,78,5.2,25,1,1,3,3,8,2.7,0,1,1,12.6,12.6,0.1%,2020,RB,1
17,Kenyan Drake,FA,16,60,3.8,11,0,1,2,2,5,2.5,0,0,1,12.5,12.5,1.1%,2020,RB,1
18,Joshua Kelley,TEN,12,60,5.0,26,1,1,0,0,0,0,0,0,1,12.0,12.0,0.0%,2020,RB,1
