Rank,Team,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Kyren Williams,LAR,16,143,8.9,56,2,0,6,6,61,10.2,2,0,1,32.4,32.4,94.2%,2023,RB,12
2,Christian McCaffrey,SF,19,114,6.0,27,1,2,5,6,25,5.0,0,0,1,25.9,25.9,66.6%,2023,RB,12
3,Bijan Robinson,ATL,16,91,5.7,17,0,1,3,6,32,10.7,1,0,1,24.3,24.3,94.6%,2023,RB,12
4,Raheem Mostert,FA,20,94,4.7,34,1,2,0,1,0,0,0,0,1,21.4,21.4,42.9%,2023,RB,12
5,Jonathan Taylor,IND,15,91,6.1,17,0,2,0,0,0,0,0,0,1,21.1,21.1,92.9%,2023,RB,12
6,Isiah Pacheco,KC,15,55,3.7,8,0,2,5,5,34,6.8,0,0,1,20.9,20.9,84.8%,2023,RB,12
7,Derrick Henry,BAL,18,76,4.2,18,0,2,1,2,0,0.0,0,0,1,19.6,19.6,97.5%,2023,RB,12
8,Josh Jacobs,GB,20,110,5.5,63,1,1,4,6,15,3.8,0,0,1,18.5,18.5,96.3%,2023,RB,12
9,Rhamondre Stevenson,NE,21,98,4.7,15,0,1,5,5,9,1.8,0,0,1,16.7,16.7,80.6%,2023,RB,12
10,Tony Pollard,TEN,13,79,6.1,27,1,1,6,6,24,4.0,0,0,1,16.3,16.3,80.4%,2023,RB,12
11,Najee Harris,PIT,15,99,6.6,22,2,1,0,0,0,0,0,0,1,15.9,15.9,85.5%,2023,RB,12
12,Chuba Hubbard,CAR,14,45,3.2,15,0,1,5,5,47,9.4,0,0,1,15.2,15.2,73.0%,2023,RB,12
13,David Montgomery,DET,15,71,4.7,15,0,1,0,1,0,0,0,0,1,15.1,15.1,75.4%,2023,RB,12
14,Royce Freeman,FA,13,77,5.9,23,1,1,0,0,0,0,0,0,1,13.7,13.7,0.0%,2023,RB,12
15,Samaje Perine,KC,7,55,7.9,24,1,1,1,1,11,11.0,0,0,1,12.6,12.6,4.2%,2023,RB,12
16,Alvin Kamara,NO,15,69,4.6,16,0,0,4,5,50,12.5,0,0,1,11.9,11.9,87.9%,2023,RB,12
17,Rachaad White,TB,15,100,6.7,38,1,0,2,2,10,5.0,0,0,1,11.0,11.0,85.8%,2023,RB,12
18,James Cook,BUF,16,43,2.7,11,0,0,6,7,57,9.5,0,0,1,10.0,10.0,93.1%,2023,RB,12
19,Keaton Mitchell,BAL,9,64,7.1,29,1,0,2,2,25,12.5,0,0,1,8.9,8.9,10.0%,2023,RB,12
20,Travis Etienne Jr.,JAC,20,56,2.8,20,1,0,4,6,30,7.5,0,0,1,8.6,8.6,81.7%,2023,RB,12
21,Rico Dowdle,DAL,3,11,3.7,7,0,0,1,1,15,15.0,1,0,1,8.6,8.6,73.9%,2023,RB,12
22,D'Andre Swift,CHI,14,80,5.7,36,1,0,1,1,4,4.0,0,0,1,8.4,8.4,83.1%,2023,RB,12
23,AJ Dillon,GB,14,43,3.1,17,0,0,3,3,38,12.7,0,0,1,8.1,8.1,3.7%,2023,RB,12
24,Jerome Ford,CLE,9,65,7.2,19,0,0,4,7,14,3.5,0,0,1,7.9,7.9,64.4%,2023,RB,12
25,Roschon Johnson,CHI,10,35,3.5,7,0,0,5,5,40,8.0,0,0,1,7.5,7.5,16.7%,2023,RB,12
26,Jeff Wilson Jr.,MIA,11,56,5.1,14,0,0,3,3,17,5.7,0,0,1,7.3,7.3,0.6%,2023,RB,12
27,Jahmyr Gibbs,DET,11,54,4.9,23,1,0,4,8,19,4.8,0,0,1,7.3,7.3,97.5%,2023,RB,12
28,Devin Singletary,NYG,6,18,3.0,14,0,0,6,7,54,9.0,0,0,1,7.2,7.2,43.6%,2023,RB,12
29,Javonte Williams,DEN,18,65,3.6,15,0,0,3,6,6,2.0,0,0,1,7.1,7.1,69.2%,2023,RB,12
30,Zack Moss,CIN,8,55,6.9,16,0,0,2,3,15,7.5,0,0,1,7.0,7.0,33.5%,2023,RB,12
31,Tyler Allgeier,ATL,10,64,6.4,14,0,0,0,0,0,0,0,0,1,6.4,6.4,36.7%,2023,RB,12
32,Brian Robinson Jr.,WAS,15,53,3.5,14,0,0,2,3,11,5.5,0,0,1,6.4,6.4,84.9%,2023,RB,12
33,Alexander Mattison,LV,10,52,5.2,21,1,0,2,2,11,5.5,0,0,1,6.3,6.3,44.8%,2023,RB,12
34,D'Ernest Johnson,JAC,7,19,2.7,7,0,0,1,2,42,42.0,0,0,1,6.1,6.1,1.1%,2023,RB,12
35,Joe Mixon,HOU,8,16,2.0,4,0,0,2,2,44,22.0,0,0,1,6.0,6.0,93.9%,2023,RB,12
36,Zach Charbonnet,SEA,14,47,3.4,10,0,0,4,4,11,2.8,0,0,1,5.8,5.8,76.5%,2023,RB,12
37,Ezekiel Elliott,FA,9,46,5.1,13,0,0,2,2,6,3.0,0,0,1,5.2,5.2,20.4%,2023,RB,12
38,Saquon Barkley,PHI,12,46,3.8,19,0,0,1,3,6,6.0,0,0,1,5.2,5.2,97.8%,2023,RB,12
39,Breece Hall,NYJ,7,25,3.6,11,0,0,7,9,24,3.4,0,0,1,4.9,4.9,91.6%,2023,RB,12
40,Latavius Murray,FA,9,30,3.3,13,0,0,3,5,18,6.0,0,0,1,4.8,4.8,0.0%,2023,RB,12
41,Austin Ekeler,WAS,10,32,3.2,6,0,0,5,6,32,6.4,0,1,1,4.4,4.4,51.4%,2023,RB,12
42,Cordarrelle Patterson,PIT,8,43,5.4,12,0,0,0,0,0,0,0,0,1,4.3,4.3,1.6%,2023,RB,12
43,Jaylen Warren,PIT,13,49,3.8,9,0,0,3,3,13,4.3,0,1,1,4.2,4.2,68.2%,2023,RB,12
44,Khalil Herbert,CIN,6,24,4.0,8,0,0,2,2,14,7.0,0,0,1,3.8,3.8,11.3%,2023,RB,12
45,Gus Edwards,LAC,8,26,3.3,5,0,0,1,1,11,11.0,0,0,1,3.7,3.7,45.3%,2023,RB,12
