Rank,Team,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Justin Fields,PIT,15,29,51.7,282,9.7,4,0,3,11,57,0,0,1,33.0,33.0,20.2%,2023,QB,5
2,Josh Allen,BUF,27,40,67.5,359,9.0,2,1,0,4,14,1,0,1,28.8,28.8,97.2%,2023,QB,5
3,Jalen Hurts,PHI,25,38,65.8,303,8.0,1,1,1,15,72,1,0,1,28.3,28.3,91.6%,2023,QB,5
4,Jared Goff,DET,20,28,71.4,236,8.4,3,0,2,2,0,1,0,1,27.4,27.4,83.6%,2023,QB,5
5,Sam Howell,SEA,37,51,72.5,388,7.6,2,1,5,4,19,0,0,1,26.4,26.4,5.8%,2023,QB,5
6,Desmond Ridder,LV,28,37,75.7,329,8.9,1,0,0,4,10,1,0,1,26.2,26.2,2.0%,2023,QB,5
7,Brock Purdy,SF,17,24,70.8,252,10.5,4,0,1,0,0,0,0,1,26.1,26.1,79.2%,2023,QB,5
8,Joe Burrow,CIN,36,46,78.3,317,6.9,3,1,3,4,7,0,0,1,24.4,24.4,92.1%,2023,QB,5
9,Bryce Young,CAR,25,41,61.0,247,6.0,3,2,1,1,4,0,0,1,20.3,20.3,28.7%,2023,QB,5
10,Kirk Cousins,ATL,29,47,61.7,284,6.0,2,0,3,3,5,0,0,1,19.9,19.9,43.6%,2023,QB,5
11,Patrick Mahomes II,KC,31,41,75.6,281,6.9,2,0,2,0,0,0,0,1,19.2,19.2,92.9%,2023,QB,5
12,Tua Tagovailoa,MIA,22,30,73.3,308,10.3,2,2,1,2,6,0,0,1,18.9,18.9,62.5%,2023,QB,5
13,Russell Wilson,PIT,20,31,64.5,196,6.3,2,0,4,7,49,0,1,1,18.7,18.7,48.0%,2023,QB,5
14,Matthew Stafford,LAR,21,37,56.8,222,6.0,2,0,4,0,0,0,0,1,16.9,16.9,54.5%,2023,QB,5
15,Trevor Lawrence,JAC,25,37,67.6,315,8.5,1,0,5,7,31,0,2,1,15.7,15.7,30.9%,2023,QB,5
16,Derek Carr,NO,18,26,69.2,183,7.0,2,0,2,2,4,0,0,1,15.7,15.7,20.5%,2023,QB,5
17,C.J. Stroud,HOU,20,35,57.1,249,7.1,1,0,0,1,2,0,0,1,14.2,14.2,79.4%,2023,QB,5
18,Kenny Pickett,PHI,18,32,56.3,224,7.0,1,0,3,6,-6,0,0,1,12.4,12.4,4.2%,2023,QB,5
19,Jimmy Garoppolo,LAR,22,31,71.0,208,6.7,1,1,3,4,4,0,0,1,11.7,11.7,2.8%,2023,QB,5
20,Lamar Jackson,BAL,22,38,57.9,236,6.2,0,1,4,6,45,0,1,1,10.9,10.9,97.0%,2023,QB,5
21,Ryan Tannehill,FA,23,34,67.6,264,7.8,0,1,1,2,12,0,0,1,10.8,10.8,1.3%,2023,QB,5
22,Joshua Dobbs,SF,15,32,46.9,166,5.2,2,2,3,3,1,0,1,1,10.7,10.7,2.4%,2023,QB,5
23,Zach Wilson,DEN,19,26,73.1,199,7.7,0,1,4,3,26,0,0,1,9.6,9.6,0.9%,2023,QB,5
24,Jordan Love,GB,16,30,53.3,182,6.1,0,3,2,2,37,0,0,1,8.0,8.0,81.9%,2023,QB,5
25,Dak Prescott,DAL,14,24,58.3,153,6.4,1,3,3,1,2,0,0,1,7.3,7.3,37.8%,2023,QB,5
26,Daniel Jones,MIN,14,20,70.0,119,6.0,0,0,6,4,24,0,0,1,7.2,7.2,13.0%,2023,QB,5
27,Gardner Minshew II,FA,11,14,78.6,155,11.1,0,0,0,2,1,0,0,1,6.3,6.3,6.2%,2023,QB,5
28,Tyrod Taylor,NYJ,9,12,75.0,86,7.2,0,0,1,3,14,0,0,1,4.8,4.8,5.4%,2023,QB,5
29,Anthony Richardson,IND,9,12,75.0,98,8.2,0,0,1,2,5,0,0,1,4.4,4.4,58.2%,2023,QB,5
30,Bailey Zappe,CLE,3,9,33.3,22,2.4,0,0,0,0,0,0,0,1,0.9,0.9,0.6%,2023,QB,5
31,Mac Jones,JAC,12,22,54.5,110,5.0,0,2,2,1,0,0,1,1,0.4,0.4,5.6%,2023,QB,5
32,Cooper Rush,DAL,2,2,100.0,8,4.0,0,0,1,1,-2,0,0,1,0.1,0.1,6.1%,2023,QB,5
33,Andy Dalton,CAR,0,0,0,0,0,0,0,0,1,1,0,0,1,0.1,0.1,2.5%,2023,QB,5
34,Taysom Hill,NO,0,0,0,0,0,0,0,0,3,19,0,0,1,0.0,0.0,27.7%,2023,QB,5
35,Sam Darnold,MIN,1,1,100.0,1,1.0,0,0,0,1,-1,0,0,1,-0.1,-0.1,77.4%,2023,QB,5
36,Teddy Bridgewater,DET,0,0,0,0,0,0,0,0,2,-2,0,0,1,-0.2,-0.2,0.8%,2023,QB,5
37,Jameis Winston,CLE,0,0,0,0,0,0,0,0,3,-4,0,0,1,-0.4,-0.4,19.6%,2023,QB,5
