Rank,Team,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Patrick Mahomes II,KC,30,39,76.9,360,9.2,5,0,0,3,5,0,0,1,34.9,34.9,92.9%,2022,QB,1
2,Josh Allen,BUF,26,31,83.9,297,9.6,3,2,2,10,56,1,0,1,33.5,33.5,97.2%,2022,QB,1
3,Carson Wentz,KC,27,41,65.9,313,7.6,4,2,1,6,12,0,0,1,29.7,29.7,1.1%,2022,QB,1
4,Jalen Hurts,PHI,18,32,56.3,243,7.6,0,0,1,17,90,1,0,1,24.7,24.7,91.6%,2022,QB,1
5,Justin Herbert,LAC,26,34,76.5,279,8.2,3,0,0,4,1,0,0,1,23.3,23.3,77.4%,2022,QB,1
6,Joe Burrow,CIN,33,53,62.3,338,6.4,2,4,7,6,47,0,1,1,22.2,22.2,92.1%,2022,QB,1
7,Jameis Winston,CLE,23,34,67.6,269,7.9,2,0,4,2,9,0,0,1,21.7,21.7,19.6%,2022,QB,1
8,Lamar Jackson,BAL,17,30,56.7,213,7.1,3,1,2,6,17,0,0,1,21.2,21.2,97.0%,2022,QB,1
9,Kyler Murray,ARI,22,34,64.7,193,5.7,2,0,2,5,29,0,0,1,20.6,20.6,84.0%,2022,QB,1
10,Marcus Mariota,WAS,20,33,60.6,215,6.5,0,0,0,12,72,1,1,1,19.8,19.8,2.7%,2022,QB,1
11,Ryan Tannehill,FA,20,33,60.6,266,8.1,2,0,1,2,7,0,0,1,19.3,19.3,1.3%,2022,QB,1
12,Kirk Cousins,ATL,23,32,71.9,277,8.7,2,0,1,0,0,0,0,1,19.1,19.1,43.6%,2022,QB,1
13,Baker Mayfield,TB,16,27,59.3,235,8.7,1,1,4,5,6,1,0,1,19.0,19.0,86.5%,2022,QB,1
14,Russell Wilson,PIT,29,42,69.0,340,8.1,1,0,2,1,2,0,0,1,17.8,17.8,48.0%,2022,QB,1
15,Geno Smith,SEA,23,28,82.1,195,7.0,2,0,2,6,14,0,0,1,17.2,17.2,49.4%,2022,QB,1
16,Daniel Jones,MIN,17,21,81.0,188,9.0,2,1,5,6,25,0,1,1,17.0,17.0,13.0%,2022,QB,1
17,Derek Carr,NO,22,37,59.5,295,8.0,2,3,5,0,0,0,0,1,16.8,16.8,20.5%,2022,QB,1
18,Jared Goff,DET,21,37,56.8,215,5.8,2,1,1,2,9,0,0,1,16.5,16.5,83.6%,2022,QB,1
19,Matt Ryan,FA,32,50,64.0,352,7.0,1,1,2,4,12,0,1,1,16.3,16.3,0.1%,2022,QB,1
20,Davis Mills,HOU,23,37,62.2,240,6.5,2,0,3,2,-1,0,1,1,15.5,15.5,0.1%,2022,QB,1
21,Joe Flacco,IND,37,59,62.7,309,5.2,1,1,3,1,0,0,0,1,15.4,15.4,8.4%,2022,QB,1
22,Tua Tagovailoa,MIA,23,33,69.7,270,8.2,1,0,3,2,0,0,0,1,14.8,14.8,62.5%,2022,QB,1
23,Justin Fields,PIT,8,17,47.1,121,7.1,2,1,2,11,28,0,0,1,14.6,14.6,20.2%,2022,QB,1
24,Trevor Lawrence,JAC,24,42,57.1,275,6.5,1,1,2,2,4,0,0,1,14.4,14.4,30.9%,2022,QB,1
25,Mitchell Trubisky,BUF,21,38,55.3,194,5.1,1,0,1,3,9,0,0,1,12.7,12.7,0.7%,2022,QB,1
26,Tom Brady,FA,18,27,66.7,212,7.9,1,1,2,2,-1,0,0,1,11.4,11.4,5.3%,2022,QB,1
27,Trey Lance,DAL,13,28,46.4,164,5.9,0,1,2,13,54,0,0,1,11.0,11.0,2.6%,2022,QB,1
28,Jacoby Brissett,NE,18,34,52.9,147,4.3,1,0,1,4,10,0,0,1,10.9,10.9,3.9%,2022,QB,1
29,Matthew Stafford,LAR,29,41,70.7,240,5.9,1,3,7,1,2,0,0,1,10.8,10.8,54.5%,2022,QB,1
30,Mac Jones,JAC,21,30,70.0,213,7.1,1,1,2,2,0,0,1,1,9.5,9.5,5.6%,2022,QB,1
31,Dak Prescott,DAL,14,29,48.3,134,4.6,0,1,2,2,11,0,0,1,5.5,5.5,37.8%,2022,QB,1
32,Aaron Rodgers,NYJ,22,34,64.7,195,5.7,0,1,4,1,-1,0,1,1,4.7,4.7,47.5%,2022,QB,1
33,Jordan Love,GB,4,5,80.0,65,13.0,0,0,0,0,0,0,0,1,2.6,2.6,81.9%,2022,QB,1
34,Cooper Rush,DAL,7,13,53.8,64,4.9,0,0,2,0,0,0,0,1,2.6,2.6,6.1%,2022,QB,1
35,Trace McSorley,FA,2,4,50.0,12,3.0,0,0,1,3,20,0,0,1,2.5,2.5,0.8%,2022,QB,1
36,Jeff Driskel,WAS,0,0,0,0,0,0,0,0,1,5,0,0,1,0.5,0.5,0.0%,2022,QB,1
37,Matt Corral,FA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2022,QB,1
38,Chad Henne,FA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.9%,2022,QB,1
39,Taysom Hill,NO,0,0,0,0,0,0,0,0,4,81,1,0,1,0.0,0.0,27.7%,2022,QB,1
