Rank,Team,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Mark Andrews,BAL,8,13,89,11.1,25,1,2,0,0,0,0,1,20.9,20.9,89.5%,2022,TE,3
2,David Njoku,CLE,9,10,89,9.9,19,0,1,0,0,0,0,1,14.9,14.9,74.6%,2022,TE,3
3,Travis Kelce,KC,4,8,58,14.5,29,2,1,1,1,0,0,1,13.9,13.9,94.1%,2022,TE,3
4,Jelani Woods,IND,2,3,13,6.5,12,0,2,0,0,0,0,1,13.3,13.3,4.0%,2022,TE,3
5,Will Dissly,LAC,3,3,34,11.3,18,0,1,0,0,0,0,1,9.4,9.4,22.8%,2022,TE,3
6,Jordan Akins,CLE,3,4,31,10.3,25,1,1,0,0,0,0,1,9.1,9.1,1.2%,2022,TE,3
7,Kyle Pitts,ATL,5,8,87,17.4,28,2,0,0,0,0,0,1,8.7,8.7,73.0%,2022,TE,3
8,Dallas Goedert,PHI,3,4,26,8.7,23,1,1,0,0,0,0,1,8.6,8.6,57.2%,2022,TE,3
9,Tyler Conklin,NYJ,8,8,84,10.5,21,1,0,0,0,0,0,1,8.4,8.4,19.2%,2022,TE,3
10,Geoff Swaim,CLE,3,3,19,6.3,13,0,1,0,0,0,0,1,7.9,7.9,0.0%,2022,TE,3
11,T.J. Hockenson,MIN,3,4,18,6.0,7,0,1,0,0,0,0,1,7.8,7.8,83.0%,2022,TE,3
12,Josh Oliver,MIN,2,2,8,4.0,7,0,1,0,0,0,0,1,6.8,6.8,1.4%,2022,TE,3
13,Tyler Higbee,LAR,4,4,61,15.3,26,1,0,0,0,0,0,1,6.1,6.1,9.2%,2022,TE,3
14,Cameron Brate,FA,5,6,52,10.4,19,0,0,0,0,0,0,1,5.2,5.2,2.0%,2022,TE,3
15,Zach Ertz,WAS,6,10,45,7.5,12,0,0,0,0,0,0,1,4.5,4.5,57.5%,2022,TE,3
16,Colby Parkinson,LAR,2,2,44,22.0,36,1,0,0,0,0,0,1,4.4,4.4,9.6%,2022,TE,3
17,Foster Moreau,NO,3,4,44,14.7,22,1,0,0,0,0,0,1,4.4,4.4,2.4%,2022,TE,3
18,Peyton Hendershot,KC,3,3,43,14.3,29,1,0,0,0,0,0,1,4.3,4.3,0.1%,2022,TE,3
19,Pat Freiermuth,PIT,2,4,41,20.5,26,1,0,0,0,0,0,1,4.1,4.1,63.9%,2022,TE,3
20,Cole Kmet,CHI,2,3,40,20.0,24,1,0,0,0,0,0,1,4.0,4.0,42.7%,2022,TE,3
21,Daniel Bellinger,NYG,4,5,40,10.0,20,1,0,0,0,0,0,1,4.0,4.0,1.5%,2022,TE,3
22,Grant Calcaterra,PHI,1,1,40,40.0,40,1,0,0,0,0,0,1,4.0,4.0,4.3%,2022,TE,3
23,Robert Tonyan,FA,6,7,37,6.2,9,0,0,0,0,0,0,1,3.7,3.7,0.0%,2022,TE,3
24,Irv Smith Jr.,HOU,2,6,32,16.0,17,0,0,0,0,0,0,1,3.2,3.2,0.0%,2022,TE,3
25,Pharaoh Brown,SEA,3,4,31,10.3,30,1,0,0,0,0,0,1,3.1,3.1,0.1%,2022,TE,3
26,Evan Engram,JAC,1,3,9,9.0,9,0,0,1,0,0,0,1,2.9,2.9,57.4%,2022,TE,3
27,George Kittle,SF,4,5,28,7.0,11,0,0,0,0,0,0,1,2.8,2.8,91.9%,2022,TE,3
28,Kendall Blanton,FA,1,1,28,28.0,28,1,0,0,0,0,0,1,2.8,2.8,0.0%,2022,TE,3
29,Noah Fant,SEA,4,4,27,6.8,16,0,0,0,0,0,0,1,2.7,2.7,21.1%,2022,TE,3
30,Tyler Davis,GB,2,2,26,13.0,23,1,0,0,0,0,0,1,2.6,2.6,0.0%,2022,TE,3
31,Noah Gray,KC,1,2,26,26.0,26,1,0,0,0,0,0,1,2.6,2.6,22.5%,2022,TE,3
32,Gerald Everett,FA,2,6,25,12.5,14,0,0,0,0,0,0,1,2.5,2.5,1.4%,2022,TE,3
33,Jonnu Smith,MIA,4,4,25,6.3,8,0,0,0,0,0,0,1,2.5,2.5,77.6%,2022,TE,3
34,Dawson Knox,BUF,4,4,25,6.3,8,0,0,0,0,0,0,1,2.5,2.5,11.4%,2022,TE,3
35,Ben Ellefson,FA,2,2,24,12.0,12,0,0,0,0,0,0,1,2.4,2.4,0.0%,2022,TE,3
36,Johnny Mundt,MIN,2,2,23,11.5,12,0,0,0,0,0,0,1,2.3,2.3,0.6%,2022,TE,3
37,Durham Smythe,FA,3,3,23,7.7,13,0,0,0,0,0,0,1,2.3,2.3,0.1%,2022,TE,3
38,Anthony Firkser,KC,1,1,22,22.0,22,1,0,0,0,0,0,1,2.2,2.2,0.0%,2022,TE,3
39,Darren Waller,FA,3,5,22,7.3,17,0,0,0,0,0,0,1,2.2,2.2,1.1%,2022,TE,3
40,Quintin Morris,BUF,2,2,22,11.0,15,0,0,0,0,0,0,1,2.2,2.2,0.1%,2022,TE,3
41,Austin Hooper,NE,2,2,19,9.5,11,0,0,0,0,0,0,1,1.9,1.9,1.9%,2022,TE,3
42,Giovanni Ricci,NE,1,2,15,15.0,15,0,0,0,0,0,0,1,1.5,1.5,0.0%,2022,TE,3
43,Jake Ferguson,DAL,2,3,13,6.5,8,0,0,0,0,0,0,1,1.3,1.3,67.5%,2022,TE,3
44,Ian Thomas,CAR,2,3,13,6.5,9,0,0,0,0,0,0,1,1.3,1.3,0.0%,2022,TE,3
45,Kyle Rudolph,FA,1,1,12,12.0,12,0,0,0,0,0,0,1,1.2,1.2,1.0%,2022,TE,3
46,Albert Okwuegbunam Jr.,IND,1,2,12,12.0,12,0,0,0,0,0,0,1,1.2,1.2,0.0%,2022,TE,3
47,Mitchell Wilcox,FA,1,1,9,9.0,9,0,0,0,0,0,0,1,0.9,0.9,0.0%,2022,TE,3
48,Adam Trautman,DEN,1,1,9,9.0,9,0,0,0,0,0,0,1,0.9,0.9,1.1%,2022,TE,3
49,Mo Alie-Cox,IND,1,3,9,9.0,9,0,0,0,0,0,0,1,0.9,0.9,0.6%,2022,TE,3
50,Isaiah Likely,BAL,1,2,8,8.0,8,0,0,0,0,0,0,1,0.8,0.8,34.2%,2022,TE,3
51,Hunter Henry,NE,1,1,8,8.0,8,0,0,0,0,0,0,1,0.8,0.8,53.6%,2022,TE,3
52,Tommy Tremble,CAR,1,1,7,7.0,7,0,0,0,0,0,0,1,0.7,0.7,1.4%,2022,TE,3
53,Hayden Hurst,LAC,1,2,7,7.0,7,0,0,0,0,0,0,1,0.7,0.7,2.7%,2022,TE,3
54,Kylen Granson,IND,2,2,7,3.5,5,0,0,0,0,0,0,1,0.7,0.7,1.2%,2022,TE,3
55,Chris Myarick,FA,1,1,6,6.0,6,0,0,0,0,0,0,1,0.6,0.6,0.0%,2022,TE,3
56,Mike Gesicki,CIN,1,1,6,6.0,6,0,0,0,0,0,0,1,0.6,0.6,29.2%,2022,TE,3
57,C.J. Uzomah,PHI,1,1,5,5.0,5,0,0,0,0,0,0,1,0.5,0.5,0.0%,2022,TE,3
58,Nick Vannett,TEN,1,1,5,5.0,5,0,0,0,0,0,0,1,0.5,0.5,0.0%,2022,TE,3
59,Logan Thomas,FA,2,3,5,2.5,5,0,0,0,0,0,0,1,0.5,0.5,0.0%,2022,TE,3
60,Jack Stoll,MIA,1,2,4,4.0,4,0,0,0,0,0,0,1,0.4,0.4,0.0%,2022,TE,3
61,Hunter Long,LAR,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2022,TE,3
62,John Bates,WAS,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.1%,2022,TE,3
63,Miller Forristall,FA,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2022,TE,3
64,Tre' McKitty,CLE,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2022,TE,3
65,Parker Hesse,FA,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2022,TE,3
