Rank,Team,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Josh Allen,BUF,29,51,56.9,339,6.6,2,1,1,9,81,2,0,1,40.7,40.7,97.2%,2023,QB,12
2,Jalen Hurts,PHI,18,31,58.1,200,6.5,3,1,2,14,65,2,1,1,35.5,35.5,91.6%,2023,QB,12
3,Dak Prescott,DAL,22,32,68.8,331,10.3,4,0,0,1,10,0,0,1,32.2,32.2,37.8%,2023,QB,12
4,C.J. Stroud,HOU,26,36,72.2,304,8.4,2,0,4,6,47,1,0,1,30.9,30.9,79.4%,2023,QB,12
5,Jordan Love,GB,22,32,68.8,268,8.4,3,0,0,3,39,0,0,1,26.6,26.6,81.9%,2023,QB,12
6,Trevor Lawrence,JAC,23,38,60.5,364,9.6,1,1,0,2,0,1,0,1,25.6,25.6,30.9%,2023,QB,12
7,Matthew Stafford,LAR,25,33,75.8,229,6.9,4,1,0,1,2,0,0,1,24.4,24.4,54.5%,2023,QB,12
8,Patrick Mahomes II,KC,27,34,79.4,298,8.8,2,0,1,5,9,0,0,1,20.8,20.8,92.9%,2023,QB,12
9,Kyler Murray,ARI,27,45,60.0,256,5.7,1,0,4,1,2,1,0,1,20.4,20.4,84.0%,2023,QB,12
10,Sam Howell,SEA,28,44,63.6,300,6.8,0,1,4,2,13,1,0,1,18.3,18.3,5.8%,2023,QB,12
11,Jared Goff,DET,29,44,65.9,332,7.5,2,0,3,3,9,0,3,1,18.2,18.2,83.6%,2023,QB,12
12,Russell Wilson,PIT,13,22,59.1,134,6.1,1,0,1,11,34,1,1,1,16.8,16.8,48.0%,2023,QB,12
13,Gardner Minshew II,FA,24,41,58.5,251,6.1,0,1,2,3,6,1,0,1,15.6,15.6,6.2%,2023,QB,12
14,Lamar Jackson,BAL,18,32,56.3,177,5.5,1,0,2,11,39,0,0,1,15.0,15.0,97.0%,2023,QB,12
15,Justin Herbert,LAC,29,44,65.9,217,4.9,1,1,3,4,47,0,1,1,14.4,14.4,77.4%,2023,QB,12
16,Baker Mayfield,TB,20,30,66.7,199,6.6,2,1,6,3,14,0,1,1,14.4,14.4,86.5%,2023,QB,12
17,Aidan O'Connell,LV,23,33,69.7,248,7.5,1,0,1,0,0,0,0,1,13.9,13.9,8.0%,2023,QB,12
18,Jake Browning,CIN,19,26,73.1,227,8.7,1,1,4,3,9,0,0,1,13.0,13.0,4.2%,2023,QB,12
19,Derek Carr,NO,24,38,63.2,304,8.0,0,1,1,2,7,0,0,1,11.9,11.9,20.5%,2023,QB,12
20,Desmond Ridder,LV,13,21,61.9,168,8.0,1,2,0,7,30,0,0,1,11.7,11.7,2.0%,2023,QB,12
21,Kenny Pickett,PHI,24,33,72.7,278,8.4,0,0,2,5,5,0,0,1,11.6,11.6,4.2%,2023,QB,12
22,Brock Purdy,SF,21,30,70.0,209,7.0,1,1,1,3,1,0,0,1,11.5,11.5,79.2%,2023,QB,12
23,Dorian Thompson-Robinson,CLE,14,29,48.3,134,4.6,1,0,0,5,21,0,0,1,11.5,11.5,1.1%,2023,QB,12
24,Justin Fields,PIT,27,37,73.0,217,5.9,0,0,3,12,59,0,2,1,10.6,10.6,20.2%,2023,QB,12
25,Tommy DeVito,NYG,17,25,68.0,191,7.6,1,0,6,5,6,0,1,1,10.2,10.2,2.0%,2023,QB,12
26,Tua Tagovailoa,MIA,21,30,70.0,243,8.1,1,2,2,2,1,0,1,1,9.8,9.8,62.5%,2023,QB,12
27,Tim Boyle,NYG,27,38,71.1,179,4.7,1,2,7,2,2,0,0,1,9.4,9.4,0.0%,2023,QB,12
28,Joshua Dobbs,SF,22,32,68.8,185,5.8,1,4,2,2,11,0,0,1,8.5,8.5,2.4%,2023,QB,12
29,Geno Smith,SEA,18,27,66.7,180,6.7,0,1,6,4,21,0,0,1,8.3,8.3,49.4%,2023,QB,12
30,Bryce Young,CAR,18,31,58.1,194,6.3,0,0,4,3,23,0,1,1,8.1,8.1,28.7%,2023,QB,12
31,Will Levis,TEN,18,28,64.3,185,6.6,0,0,1,3,-3,0,0,1,7.1,7.1,21.1%,2023,QB,12
32,Clayton Tune,ARI,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,2.0,1.0%,2023,QB,12
33,Mac Jones,JAC,12,21,57.1,89,4.2,0,2,1,0,0,0,0,1,1.6,1.6,5.6%,2023,QB,12
34,Bailey Zappe,CLE,9,14,64.3,54,3.9,0,1,1,0,0,0,0,1,1.2,1.2,0.6%,2023,QB,12
35,P.J. Walker,FA,6,13,46.2,56,4.3,0,0,4,1,-1,0,1,1,0.1,0.1,0.0%,2023,QB,12
36,Kyle Trask,TB,0,1,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,1.0%,2023,QB,12
37,Taysom Hill,NO,0,0,0,0,0,0,0,0,7,26,0,1,1,0.0,0.0,27.7%,2023,QB,12
38,Jacob Eason,FA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2023,QB,12
39,Carson Wentz,KC,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.1%,2023,QB,12
40,Mike White,BUF,0,0,0,0,0,0,0,0,1,-2,0,0,1,-0.2,-0.2,1.0%,2023,QB,12
