Rank,Team,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Rashod Bateman,BAL,4,4,121,30.3,59,2,1,0,0,0,0,1,18.1,18.1,35.3%,2024,WR,7
2,Amon-Ra St. Brown,DET,8,8,112,14.0,35,1,1,0,0,0,0,1,17.2,17.2,97.2%,2024,WR,7
3,George Pickens,PIT,5,9,111,22.2,44,2,1,0,0,0,0,1,17.1,17.1,88.7%,2024,WR,7
4,Brian Thomas Jr.,JAC,5,5,89,17.8,58,1,1,2,2,0,0,1,17.1,17.1,86.3%,2024,WR,7
5,DK Metcalf,SEA,4,7,99,24.8,35,3,1,0,0,0,0,1,15.9,15.9,88.3%,2024,WR,7
6,A.J. Brown,PHI,5,5,89,17.8,41,1,1,0,0,0,0,1,14.9,14.9,96.7%,2024,WR,7
7,Justin Jefferson,MIN,7,8,81,11.6,25,1,1,1,3,0,0,1,14.4,14.4,98.3%,2024,WR,7
8,Tee Higgins,CIN,4,8,82,20.5,25,2,1,0,0,0,0,1,14.2,14.2,87.7%,2024,WR,7
9,Amari Cooper,BUF,4,5,66,16.5,27,1,1,0,0,0,0,1,12.6,12.6,75.3%,2024,WR,7
10,Ja'Marr Chase,CIN,5,6,55,11.0,18,0,1,1,11,0,0,1,12.6,12.6,94.0%,2024,WR,7
11,Keon Coleman,BUF,4,7,125,31.3,57,2,0,0,0,0,0,1,12.5,12.5,51.9%,2024,WR,7
12,Drake London,ATL,6,8,63,10.5,17,0,1,0,0,0,0,1,12.3,12.3,91.6%,2024,WR,7
13,Cedrick Wilson Jr.,NO,6,7,57,9.5,17,0,1,0,0,0,0,1,11.7,11.7,0.7%,2024,WR,7
14,Mecole Hardman Jr.,KC,1,2,17,17.0,17,0,0,2,38,1,0,1,11.5,11.5,0.2%,2024,WR,7
15,Dontayvion Wicks,GB,3,6,48,16.0,30,1,1,0,0,0,0,1,10.8,10.8,23.2%,2024,WR,7
16,Cedric Tillman,CLE,8,12,81,10.1,25,1,0,0,0,0,0,1,10.1,10.1,28.9%,2024,WR,7
17,Kalif Raymond,DET,3,4,39,13.0,21,1,1,0,0,0,0,1,9.9,9.9,2.6%,2024,WR,7
18,Terry McLaurin,WAS,6,6,98,16.3,25,1,0,0,0,0,0,1,9.8,9.8,91.3%,2024,WR,7
19,Romeo Doubs,GB,8,10,94,11.8,23,1,0,0,0,0,0,1,9.4,9.4,47.5%,2024,WR,7
20,K.J. Osborn,WAS,2,3,26,13.0,22,1,1,0,0,0,0,1,8.6,8.6,1.3%,2024,WR,7
21,Mike Evans,TB,1,3,25,25.0,25,1,1,0,0,0,0,1,8.5,8.5,94.8%,2024,WR,7
22,Garrett Wilson,NYJ,5,9,61,12.2,27,1,0,0,0,0,0,1,8.1,8.1,91.1%,2024,WR,7
23,Jalen Nailor,MIN,4,5,76,19.0,33,2,0,0,0,0,0,1,7.6,7.6,6.6%,2024,WR,7
24,Van Jefferson,PIT,2,3,15,7.5,11,0,1,0,0,0,0,1,7.5,7.5,1.5%,2024,WR,7
25,Nick Westbrook-Ikhine,TEN,2,4,10,5.0,6,0,1,0,0,0,0,1,7.0,7.0,23.7%,2024,WR,7
26,Jordan Addison,MIN,3,4,66,22.0,51,1,0,0,0,0,0,1,6.6,6.6,85.1%,2024,WR,7
27,Khalil Shakir,BUF,7,7,65,9.3,20,1,0,0,0,0,0,1,6.5,6.5,74.4%,2024,WR,7
28,Chris Godwin,TB,7,9,65,9.3,21,1,0,0,0,0,0,1,6.5,6.5,45.3%,2024,WR,7
29,Greg Dortch,ARI,1,2,5,5.0,5,0,1,0,0,0,0,1,6.5,6.5,4.5%,2024,WR,7
30,Michael Pittman Jr.,IND,3,5,63,21.0,33,2,0,0,0,0,0,1,6.3,6.3,70.7%,2024,WR,7
31,Joshua Palmer,LAC,4,5,63,15.8,24,1,0,0,0,0,0,1,6.3,6.3,18.9%,2024,WR,7
32,Parker Washington,JAC,0,0,0,0,0,0,0,0,0,0,0,1,6.0,6.0,5.7%,2024,WR,7
33,Charlie Jones,CIN,0,0,0,0,0,0,0,0,0,0,0,1,6.0,6.0,0.1%,2024,WR,7
34,Allen Lazard,NYJ,4,4,58,14.5,20,1,0,0,0,0,0,1,5.8,5.8,6.7%,2024,WR,7
35,Tyler Johnson,LAR,4,7,57,14.3,37,1,0,0,0,0,0,1,5.7,5.7,0.9%,2024,WR,7
36,Tutu Atwell,LAR,6,9,51,8.5,13,0,0,0,0,0,0,1,5.1,5.1,5.2%,2024,WR,7
37,Troy Franklin,DEN,5,6,50,10.0,30,1,0,0,0,0,0,1,5.0,5.0,14.9%,2024,WR,7
38,Jacob Cowing,SF,2,3,50,25.0,41,1,0,0,0,0,0,1,5.0,5.0,1.7%,2024,WR,7
39,Tre Tucker,LV,3,8,36,12.0,15,0,0,1,11,0,0,1,4.7,4.7,12.3%,2024,WR,7
40,Ladd McConkey,LAC,5,7,46,9.2,21,1,0,0,0,0,0,1,4.6,4.6,85.2%,2024,WR,7
41,Darnell Mooney,ATL,5,8,46,9.2,20,1,0,0,0,0,0,1,4.6,4.6,67.9%,2024,WR,7
42,Mason Tipton,NO,6,9,45,7.5,9,0,0,0,0,0,0,1,4.5,4.5,1.1%,2024,WR,7
43,Simi Fehoko,LAC,3,6,45,15.0,25,1,0,0,0,0,0,1,4.5,4.5,1.0%,2024,WR,7
44,Tyler Lockett,FA,4,6,45,11.3,16,0,0,0,0,0,0,1,4.5,4.5,44.2%,2024,WR,7
45,Tyler Boyd,TEN,5,5,43,8.6,12,0,0,0,0,0,0,1,4.3,4.3,4.6%,2024,WR,7
46,Calvin Ridley,TEN,3,9,42,14.0,33,1,0,0,0,0,0,1,4.2,4.2,77.8%,2024,WR,7
47,Malik Nabers,NYG,4,8,41,10.3,14,0,0,0,0,0,0,1,4.1,4.1,90.2%,2024,WR,7
48,Elijah Moore,CLE,6,6,41,6.8,12,0,0,0,0,0,0,1,4.1,4.1,17.4%,2024,WR,7
49,Bub Means,NO,3,5,37,12.3,14,0,0,0,0,0,0,1,3.7,3.7,1.1%,2024,WR,7
50,Calvin Austin III,PIT,1,4,36,36.0,36,1,0,0,0,0,0,1,3.6,3.6,10.7%,2024,WR,7
51,Sterling Shepard,TB,1,1,15,15.0,15,0,0,0,0,0,0,1,3.5,3.5,5.1%,2024,WR,7
52,Kayshon Boutte,NE,1,2,33,33.0,33,1,0,0,0,0,0,1,3.3,3.3,12.8%,2024,WR,7
53,Xavier Smith,LAR,0,0,0,0,0,0,0,2,30,0,0,1,3.0,3.0,0.0%,2024,WR,7
54,Adonai Mitchell,IND,2,3,30,15.0,16,0,0,0,0,0,0,1,3.0,3.0,18.4%,2024,WR,7
55,Zay Flowers,BAL,1,1,11,11.0,11,0,0,1,19,0,0,1,3.0,3.0,90.3%,2024,WR,7
56,Davante Adams,FA,3,9,30,10.0,11,0,0,0,0,0,0,1,3.0,3.0,91.0%,2024,WR,7
57,Jalen McMillan,TB,3,8,15,5.0,8,0,0,1,11,0,0,1,2.6,2.6,54.0%,2024,WR,7
58,Olamide Zaccheaus,WAS,4,6,25,6.3,12,0,0,0,0,0,0,1,2.5,2.5,8.1%,2024,WR,7
