Rank,Team,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Justin Fields,PIT,17,28,60.7,123,4.4,3,0,2,15,178,1,0,1,42.7,42.7,20.2%,2022,QB,9
2,Patrick Mahomes II,KC,43,68,63.2,446,6.6,1,1,4,6,63,1,0,1,35.1,35.1,92.9%,2022,QB,9
3,Josh Allen,BUF,18,34,52.9,205,6.0,0,2,5,9,86,2,0,1,26.8,26.8,97.2%,2022,QB,9
4,Tua Tagovailoa,MIA,21,30,70.0,302,10.1,3,0,0,5,0,0,0,1,24.1,24.1,62.5%,2022,QB,9
5,Geno Smith,SEA,26,34,76.5,275,8.1,2,1,2,6,38,0,0,1,21.8,21.8,49.4%,2022,QB,9
6,Jalen Hurts,PHI,21,27,77.8,243,9.0,2,0,4,9,23,0,1,1,20.0,20.0,91.6%,2022,QB,9
7,Joe Burrow,CIN,22,28,78.6,206,7.4,1,0,1,4,9,1,0,1,19.1,19.1,92.1%,2022,QB,9
8,Kyler Murray,ARI,25,35,71.4,175,5.0,2,0,5,8,60,0,1,1,19.0,19.0,84.0%,2022,QB,9
9,Derek Carr,NO,21,36,58.3,259,7.2,2,0,2,0,0,0,0,1,18.4,18.4,20.5%,2022,QB,9
10,Lamar Jackson,BAL,12,22,54.5,133,6.0,1,0,3,11,82,0,0,1,17.5,17.5,97.0%,2022,QB,9
11,Kirk Cousins,ATL,22,40,55.0,265,6.6,2,1,2,2,-2,0,0,1,17.4,17.4,43.6%,2022,QB,9
12,Trevor Lawrence,JAC,25,31,80.6,235,7.6,1,0,0,6,53,0,1,1,16.7,16.7,30.9%,2022,QB,9
13,Aaron Rodgers,NYJ,23,43,53.5,291,6.8,1,3,1,4,40,0,0,1,16.6,16.6,47.5%,2022,QB,9
14,Tom Brady,FA,36,58,62.1,280,4.8,1,0,1,0,0,0,0,1,15.2,15.2,5.3%,2022,QB,9
15,Taylor Heinicke,LAC,15,28,53.6,149,5.3,2,1,3,4,17,0,0,1,14.7,14.7,1.1%,2022,QB,9
16,Baker Mayfield,TB,14,20,70.0,155,7.8,2,0,0,0,0,0,0,1,14.2,14.2,86.5%,2022,QB,9
17,Davis Mills,HOU,13,22,59.1,154,7.0,2,2,3,3,18,0,0,1,14.0,14.0,0.1%,2022,QB,9
18,Justin Herbert,LAC,30,43,69.8,245,5.7,1,1,0,1,3,0,0,1,13.1,13.1,77.4%,2022,QB,9
19,Jared Goff,DET,14,26,53.8,137,5.3,2,1,0,1,-1,0,0,1,12.4,12.4,83.6%,2022,QB,9
20,Andy Dalton,CAR,19,29,65.5,210,7.2,1,1,4,2,5,0,0,1,11.9,11.9,2.5%,2022,QB,9
21,Zach Wilson,DEN,18,25,72.0,154,6.2,1,0,2,5,24,0,1,1,10.6,10.6,0.9%,2022,QB,9
22,Matthew Stafford,LAR,13,27,48.1,165,6.1,1,0,4,2,-1,0,0,1,10.5,10.5,54.5%,2022,QB,9
23,Mac Jones,JAC,20,30,66.7,147,4.9,1,0,4,1,-2,0,0,1,9.7,9.7,5.6%,2022,QB,9
24,Marcus Mariota,WAS,12,23,52.2,129,5.6,0,0,2,5,24,0,0,1,7.6,7.6,2.7%,2022,QB,9
25,Malik Willis,GB,5,16,31.3,80,5.0,0,0,3,8,40,0,0,1,7.2,7.2,2.9%,2022,QB,9
26,Sam Ehlinger,IND,15,29,51.7,103,3.6,0,1,9,5,39,0,0,1,7.0,7.0,0.0%,2022,QB,9
27,Brandon Allen,SF,3,3,100.0,22,7.3,0,0,1,3,-1,0,0,1,0.8,0.8,0.9%,2022,QB,9
28,Taysom Hill,NO,1,1,100.0,13,13.0,0,0,0,1,6,0,0,1,0.0,0.0,27.7%,2022,QB,9
29,Nick Mullens,MIN,1,1,100.0,-3,-3.0,0,0,0,0,0,0,0,1,-0.1,-0.1,0.6%,2022,QB,9
30,P.J. Walker,FA,3,10,30.0,9,0.9,0,2,0,1,6,0,0,1,-1.0,-1.0,0.0%,2022,QB,9
